De,,Para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PORTARIA N. 47, DE 14 DE FEVEREIRO DE 2020. DO ARQUIVO NACIONAL (REVOGADA)",,PORTARIA AN/MGI Nº 174/2024 (EM VIGOR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,DESCRITOR DO CÓDIGO,CÓDIGO,DESCRITOR DO CÓDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.4,Redistribuição,022.4,Redistribuição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.5,Substituição,022.5,Substituição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022.22,Cessão. Requisição,022.22,Cessão. Requisição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023,Concessão de direitos e vantagens,023,Concessão de direitos e vantagens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.11,Folhas de pagamento,023.11,Folhas de pagamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.1,Pagamento de vencimentos. Remunerações. Salários. Proventos,023.1,Pagamento de vencimentos. Remunerações. Salários. Proventos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026.1,Salário família (Concessão de benefícios de seguridade e previdência social),026.1,Salário família (Concessão de benefícios de seguridade e previdência social),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.13,Abono provisório,023.13,Abono provisório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.14,Abono de permanência em serviço,023.14,Abono de permanência em serviço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.191,Retificação de pagamento (Outras ações referentes ao pagamento de vencimentos. Remunerações. Salários. Proventos),023.191,Retificação de pagamento (Outras ações referentes ao pagamento de vencimentos. Remunerações. Salários. Proventos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.15,Gratificações,023.15,Gratificações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.151,Função (Gratificações),023.151,Função (Gratificações),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.152,Jetons (Gratificações),023.152,Jetons (Gratificações),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.153,Cargos em comissão (Gratificações),023.153,Cargos em comissão (Gratificações),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.154,Natalina. Décimo terceiro salário (Gratificações),023.154,Natalina. Décimo terceiro salário (Gratificações),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.155,Desempenho (Gratificações),023.155,Desempenho (Gratificações),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
